ref,name,theme,category,class,confidence,capex_central_£,capex_low_£,capex_high_£,annual_elec_kWh,annual_gas_kWh,annual_£_saving,EUI_Δ_kWh_m2,lifetime_tCO2e,£_per_tCO2e,simple_payback_yr,flags,basis
3.2,VRF replacement (current-gen R-32 heat recovery),Heating & cooling,Systems,B,M,375000,280000,480000,12295,0,3443,-2.9,79.8,4699,108.9,EP-validated ✓ ,"Heating/cooling consumption −20% (spec 15–25%), via rated-SCOP substitution derated to in-service: eff 3.0→3.75 (=3.0/0.8). CUMULATIVE: computed against the post-3.1 state (3.4→4.25) per the note's double-count guard. Plus Class C refrigerant carbon ≈4.7 tCO₂e/yr (offmodel)."
5.2,Communal lighting + controls,Communal,Lighting,A,M,20100,12000,30000,5695,0,1595,-1.3,4.0,5025,12.6,EP-validated ✓ ,Whole-building lighting magnitude −15% (2.0→1.7 W/m²) representing communal LED + PIR occupancy sensing on the communal fraction. [15% is a stated assumption — communal share × PIR saving.]
3.5,Brise soleil (external solar shading),Heating & cooling,Fabric,A,M,23100,17000,34000,530,0,148,-0.1,0.4,57750,156.1,EP-validated ✓ ,"0.5 m horizontal overhang on the SW/S/W-facing glazing → modelled as south + west facades of the 4-orientation box (North_Axis 42). Seasonally selective (cuts summer sun, admits winter)."
2.1,MVHR replacing central electric heating + bathroom extract,Ventilation,Systems,A,L,99000,70000,140000,-19784,0,-5540,4.7,-13.8,,,EP-validated ✓ allowance-only,"Bedroom extract → balanced MVHR 80% HR, SFP 1.8 (mid 1.5–2.0). Electric panel heating (heating[1], 5%) removed → VRF 100%. Note: net effect may be adverse (summer) — modelling decides."
2.3,Heat-recovery bypass setpoint,Ventilation,Controls,A,H,0,0,500,,,,,,,,off-model no-model,NO clean static-engine representation — seasonal HRV bypass is a control the static engine does not expose (no seasonal-recovery field). Modelled effect ≈ 0; a near-free control with a small summer cooling benefit not captured. Cost within 6.1.
4.1,Room load monitoring (sample sub-metering),Room loads,Occupancy (enabling),D,M,4500,3000,8000,,,,,,,,enabling,Enabling: no demand change; converts assumed room load into data. Sizes 4.2.
4.3,Equipment efficiency at replacement,Room loads,Other,D,H,0,0,0,,,,,,,,enabling,£0 capex by definition (efficient spec at natural replacement). No energy claim modelled.
5.1,Kitchen/catering review + circuit metering,Communal,Other (enabling),D,M,2300,1500,4000,,,,,,,,enabling,Enabling: quantum unknown by design; no modelled demand change.
5.3,Building sub-metering package (plant + water),Communal,Other (enabling),D,M,13300,9000,20000,,,,,,,,enabling,THE enabling measure: no demand change; resolves the report's largest unknown. First action overall.
5.4,Communal ventilation run-hours,Communal,Controls,D,H,0,0,500,,,,,,,,enabling,Within the 6.1 controls visit. Align HRV schedules to space use; small saving not separately modelled (within 6.1 / not a headline claim).
6.1,BMS setpoint realignment + schedules (consolidated controls visit),Controls & BMS,Controls,D,H,3000,2000,6000,,,,,,,,enabling,"Cost-carrier for the settings measures (3.3, 5.4, 2.3). Their energy savings are claimed under those refs; 6.1 carries the £3,000 visit so the settings measures read £0 capex (avoids double-count)."
